"filename", "language", "JavaScript", "HTML", "CSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\Final\HowUniverseWorks.html", "HTML", 0, 171, 0, 0, 0, 2, 23, 196
"c:\Users\HP\Desktop\Final\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\HP\Desktop\Final\SolarSystem.html", "HTML", 0, 256, 0, 0, 0, 0, 26, 282
"c:\Users\HP\Desktop\Final\contact.html", "HTML", 0, 173, 0, 0, 0, 20, 16, 209
"c:\Users\HP\Desktop\Final\css\articles.css", "CSS", 0, 0, 246, 0, 0, 6, 10, 262
"c:\Users\HP\Desktop\Final\css\reset.css", "CSS", 0, 0, 52, 0, 0, 7, 2, 61
"c:\Users\HP\Desktop\Final\css\responsive.css", "CSS", 0, 0, 635, 0, 0, 8, 9, 652
"c:\Users\HP\Desktop\Final\css\style.css", "CSS", 0, 0, 1001, 0, 0, 15, 46, 1062
"c:\Users\HP\Desktop\Final\featured1.html", "HTML", 0, 99, 0, 0, 0, 0, 10, 109
"c:\Users\HP\Desktop\Final\featured2.html", "HTML", 0, 117, 0, 0, 0, 0, 10, 127
"c:\Users\HP\Desktop\Final\featured3.html", "HTML", 0, 98, 0, 0, 0, 0, 7, 105
"c:\Users\HP\Desktop\Final\humansinspace.html", "HTML", 0, 204, 0, 0, 0, 0, 16, 220
"c:\Users\HP\Desktop\Final\images\mail.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\HP\Desktop\Final\images\map-pin.svg", "XML", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\HP\Desktop\Final\images\phone.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\HP\Desktop\Final\index.html", "HTML", 0, 259, 0, 0, 0, 2, 11, 272
"c:\Users\HP\Desktop\Final\script.js", "JavaScript", 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\HP\Desktop\Final\script2.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\HP\Desktop\Final\script3.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5, 10
"Total", "-", 42, 1377, 1934, 15, 1, 60, 201, 3630